date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
11-2014,13.190022025878143,3,1.0,6.993932975223189,8.006367567650246,1.5,0,0,4,8,6.993932975223189,0,1929,1929,98117,47.6889,-122.375,1570,5080
12-2014,12.683858415217964,4,2.75,7.630461261783627,8.803724602110622,1.0,0,0,3,7,7.154615356913663,780,1981,1981,98058,47.4276,-122.157,2020,8720
06-2014,13.453104939316557,3,2.5,7.7406644019172415,8.026170194946426,1.5,0,0,3,8,7.31986492980897,790,1930,2002,98115,47.6827,-122.31,1590,3264
05-2014,13.217673557208654,4,1.0,7.414572881350589,10.458751025732687,1.0,0,0,1,5,6.835184586147301,730,1933,1933,98052,47.6621,-122.132,2160,11467
12-2014,13.369223455335854,4,2.0,7.7664168980196555,8.699514748210191,2.0,0,0,4,8,7.7664168980196555,0,1904,1904,98107,47.6702,-122.362,1730,4700
02-2015,12.388394202324129,4,1.0,7.106606137727303,8.996528148090857,1.0,0,0,2,7,6.7912214627261855,330,1969,1969,98001,47.3341,-122.282,1290,7800
06-2014,13.312983737012978,4,2.5,7.8709295967551425,8.929700114313448,2.0,0,0,3,8,7.8709295967551425,0,1996,1996,98056,47.5301,-122.18,2620,11884
07-2014,13.345506928718539,4,2.5,7.851661177889265,8.616133139271142,2.0,0,0,3,9,7.851661177889265,0,2000,2000,98074,47.6145,-122.027,2470,5669
08-2014,13.560618308335483,4,2.25,8.347590407030058,10.09352923234522,1.0,0,0,3,8,7.8632667240095735,1620,1984,1984,98166,47.445,-122.347,2410,30617
07-2014,13.666998948650464,5,2.75,8.187299270155147,8.637462023807181,2.0,0,0,3,9,8.187299270155147,0,2014,2014,98053,47.6848,-122.016,3625,5639
10-2014,13.437174117244362,3,1.0,7.358830898342354,7.731930721948486,2.0,0,0,3,7,7.358830898342354,0,1922,1922,98119,47.6413,-122.364,1580,2640
07-2014,12.641096555879882,3,1.0,7.154615356913663,9.175334762777368,1.0,0,0,4,6,6.824373670043086,360,1959,1959,98058,47.4485,-122.175,1340,8808
07-2014,13.098070684835283,3,2.5,8.058327306580958,9.51804563563343,2.0,0,0,3,8,8.058327306580958,0,2003,2003,98019,47.7443,-121.977,3050,9232
03-2015,12.257193425037888,3,1.0,6.897704943128636,9.051110146405625,1.0,0,0,3,6,6.897704943128636,0,1966,1966,98023,47.3066,-122.371,1228,8840
07-2014,13.573438996764546,4,2.5,7.736307096548285,9.504203303503045,2.0,0,0,4,9,7.736307096548285,0,1981,1981,98007,47.6194,-122.151,2680,13685
04-2015,13.017002861746503,3,1.75,7.1308988302963465,8.693328989123106,1.0,0,0,4,7,7.1308988302963465,0,1953,1953,98115,47.6796,-122.301,970,5100
03-2015,14.115615150414612,3,2.5,7.920446505142607,11.08221946899627,1.0,1,2,5,9,7.68017564043659,588,1953,1953,98070,47.4041,-122.451,2680,72513
09-2014,12.337100907936577,3,1.0,7.081708586105575,9.126850061477157,1.0,0,0,3,7,7.081708586105575,0,1955,1955,98148,47.4258,-122.322,1190,9364
02-2015,12.751299696013497,5,2.5,8.055157731819678,9.119758993744945,1.0,0,0,4,8,7.402451520818244,1510,1966,1966,98056,47.4934,-122.189,1990,9133
12-2014,13.304684934198283,3,1.75,7.251344983372214,8.313852267398207,1.0,0,0,4,7,6.907755278982137,410,1950,1950,98117,47.6808,-122.384,1410,4080
02-2015,13.279367126213993,2,1.75,7.590852123688581,9.053686561930807,1.0,0,0,3,7,6.897704943128636,990,1981,1981,98117,47.6989,-122.369,1480,6738
03-2015,13.732128949025222,5,2.25,7.912056888179006,8.699514748210191,1.5,0,0,3,8,7.6638772587034705,600,1927,1927,98105,47.6571,-122.281,2730,6000
05-2014,13.693342923990066,4,2.5,7.948031990637284,8.517193191416238,2.0,0,0,3,9,7.948031990637284,0,1995,1995,98105,47.6597,-122.29,1950,5000
08-2014,12.58621994565405,4,2.5,7.718685495198466,8.410720946905721,2.0,0,0,3,7,7.718685495198466,0,2008,2008,98042,47.3663,-122.114,2250,4500
04-2015,12.614865543731012,3,2.5,7.791522819150732,8.465899897028686,2.0,0,0,3,8,7.791522819150732,0,2003,2003,98042,47.3663,-122.122,2690,4750
08-2014,13.765269341527528,5,3.25,8.086410275323782,9.57094757444252,2.0,0,4,4,8,8.086410275323782,0,1968,1968,98008,47.588,-122.116,2960,11044
02-2015,12.971540487669746,4,3.0,7.52294091807237,9.207937487359873,2.0,0,0,3,8,7.52294091807237,0,1991,1991,98059,47.5059,-122.149,2270,8542
12-2014,13.38472764187182,3,2.25,7.673223121121708,9.963406042747371,1.0,0,3,4,8,7.371489295214277,560,1959,1959,98166,47.4336,-122.339,2570,18900
08-2014,12.57418196709457,3,1.75,7.138866999945524,9.035986984831405,1.0,0,0,3,7,7.138866999945524,0,1954,1954,98148,47.4366,-122.335,1290,8750
10-2014,13.132313708257497,3,1.75,7.831617276352611,9.069928218259438,2.0,0,0,5,8,7.831617276352611,0,1973,1973,98166,47.4428,-122.344,2500,9500
12-2014,13.215853720491667,3,1.75,7.3395376954076745,6.950814768442584,3.0,0,0,3,8,7.3395376954076745,0,2014,2014,98115,47.6765,-122.32,1580,3090
06-2014,12.959844447906553,3,2.25,7.414572881350589,8.699514748210191,1.0,0,0,3,7,7.01211529430638,550,1979,1979,98122,47.6113,-122.297,1440,4080
11-2014,12.668626720622465,3,2.75,7.926602599181384,8.245121966478605,1.5,0,0,5,7,7.478734825567875,1000,1925,1925,98144,47.5747,-122.304,1440,4000
09-2014,13.790192749979985,4,2.5,7.908387159290043,9.310095205113175,2.0,0,0,3,10,7.908387159290043,0,1989,1989,98004,47.5815,-122.192,2750,11049
10-2014,12.567237494741757,4,2.5,7.7142311448490855,8.444192298531748,2.0,0,0,3,7,7.7142311448490855,0,2005,2005,98001,47.3378,-122.257,2221,4557
08-2014,12.225875272826354,3,1.0,6.907755278982137,9.398478314091577,1.0,0,0,4,7,6.907755278982137,0,1968,1968,98042,47.3621,-122.11,1010,12635
06-2014,14.09692301740246,5,2.25,8.070906088787819,9.911356510914823,1.0,0,0,3,8,7.3777589082278725,1600,1965,1965,98004,47.6303,-122.215,3390,20158
09-2014,13.854731271117556,5,3.25,8.470101583882387,10.821656519422055,1.0,0,0,4,11,8.029432840581244,1700,1973,1973,98005,47.6525,-122.16,3530,38917
01-2015,12.691580461311874,3,2.0,7.138866999945524,8.632662441222351,1.0,0,0,4,7,7.138866999945524,0,1972,1972,98034,47.7362,-122.179,1640,4745
06-2014,13.255144488638146,4,2.0,7.919356190660617,8.962776046120291,1.5,0,0,5,7,7.718685495198466,500,1916,1916,98125,47.7168,-122.287,1510,7807
07-2014,12.793859310432293,4,2.5,7.77485576666552,8.517193191416238,2.0,0,0,3,8,7.77485576666552,0,2005,2005,98038,47.3608,-122.036,2420,5000
03-2015,12.762827201184564,3,1.75,7.489970898834801,10.830302707866496,1.0,0,0,5,7,6.993932975223189,700,1965,1965,98042,47.3511,-122.073,1940,50529
11-2014,13.632188500836737,4,4.0,8.140315540159985,10.466013387887635,2.0,0,0,4,10,7.779048644925556,1040,1986,1986,98075,47.5822,-121.987,3240,35020
10-2014,12.84792653170257,4,1.75,7.473069088032197,8.895629627136483,1.0,0,0,3,7,6.779921907472252,880,1956,1956,98008,47.6034,-122.125,1680,7500
04-2015,13.081541382884074,3,1.0,6.946975992135418,8.52912176228151,1.0,0,0,3,7,6.946975992135418,0,1941,1941,98116,47.5636,-122.394,890,5060
06-2014,12.92391243868049,3,1.0,7.251344983372214,8.52912176228151,1.0,0,0,4,7,6.813444599510896,500,1956,1956,98133,47.7073,-122.34,1130,5693
03-2015,13.487006490992238,4,2.5,8.146129510025405,10.588678163379617,2.0,0,0,3,10,8.146129510025405,0,2002,2002,98010,47.342,-122.025,3350,39750
12-2014,12.873902018105829,3,2.5,7.762170607138205,8.536995818712418,2.0,0,0,3,8,7.762170607138205,0,2003,2003,98038,47.3512,-122.008,2350,5363
12-2014,12.793859310432293,4,2.5,7.549609165154532,8.68084148294457,2.0,0,0,3,7,7.549609165154532,0,1992,1992,98038,47.349,-122.031,1870,6405
10-2014,12.779873068457553,2,1.0,7.61085279039525,8.812843433517195,1.0,0,0,3,7,6.917705609835305,1010,1948,1948,98118,47.5474,-122.291,1720,6720
01-2015,12.782686009834167,3,1.5,7.426549072397305,9.072456664612796,1.0,0,0,3,8,7.426549072397305,0,1964,1964,98059,47.4811,-122.149,1850,8797
06-2014,12.66032791780777,3,1.0,6.866933284461882,8.799963219506997,1.0,0,0,3,6,6.866933284461882,0,1952,1952,98125,47.7264,-122.31,1570,7203
11-2014,13.753635154246187,3,1.5,7.668561108015897,8.1886891244442,2.0,0,0,3,9,7.549609165154532,240,1925,1925,98119,47.6337,-122.365,2020,4800
11-2014,12.628067055589549,5,2.25,7.886081401775745,9.035986984831405,1.5,0,0,5,7,7.886081401775745,0,1961,1961,98092,47.2909,-122.189,1590,8165
06-2014,13.041153321978786,3,3.25,7.926602599181384,8.744806737401898,2.0,0,0,3,9,7.590852123688581,790,2006,2006,98056,47.5228,-122.199,1900,7349
05-2014,12.2783933071098,2,2.25,7.383989457978509,7.620705086838262,2.0,0,0,4,7,7.383989457978509,0,1979,1979,98056,47.518,-122.194,1950,2025
09-2014,12.721885810807203,2,1.75,6.937314081223682,6.97166860472579,2.0,0,0,3,7,6.639875833826536,265,2006,2006,98136,47.5394,-122.387,1030,1106
05-2014,12.402872221504781,4,2.5,7.590852123688581,8.909640602443098,2.0,0,0,3,7,7.590852123688581,0,1988,1988,98023,47.2897,-122.372,1980,7510
03-2015,13.910711640908662,5,2.75,8.166216268592143,8.756682421266532,2.0,0,0,4,10,8.166216268592143,0,2001,2001,98199,47.6506,-122.391,2520,6250
02-2015,11.938193200374572,3,1.0,7.090076835776092,9.259130536145614,1.0,0,0,3,7,7.090076835776092,0,1962,1962,98023,47.322,-122.351,1350,10500
07-2014,12.971540487669746,3,1.5,7.365180126021013,8.517193191416238,1.0,0,0,3,8,7.162397497355718,290,1939,1939,98117,47.687,-122.386,1570,4500
12-2014,13.458835614025542,3,1.5,7.365180126021013,8.517193191416238,1.0,0,0,3,8,7.162397497355718,290,1939,1939,98117,47.687,-122.386,1570,4500
09-2014,13.715690222682063,4,2.5,8.101677747454572,9.235032984566555,1.0,0,0,3,7,7.779048644925556,910,1946,1991,98040,47.5873,-122.249,1950,6045
03-2015,12.419165860990882,3,1.75,7.580699752224563,9.660205067381032,1.0,0,0,3,7,7.580699752224563,0,1967,1967,98032,47.3576,-122.277,1750,15616
09-2014,12.201060103706629,4,1.5,7.05617528410041,8.764053269347762,1.0,0,0,4,7,7.05617528410041,0,1975,1975,98023,47.3036,-122.378,1160,6400
07-2014,12.65714826489039,3,1.75,7.501082124259871,10.640651618512848,1.0,0,0,5,7,7.098375638590786,600,1980,1980,98038,47.4109,-121.958,1650,135036
05-2014,12.988831984779805,3,2.5,7.749322464660356,10.51452948317723,2.0,0,2,3,9,7.749322464660356,0,1992,1992,98045,47.4838,-121.714,2550,35065
06-2014,13.653967622617456,3,2.5,7.635303886259415,9.491073355339758,1.5,0,0,5,9,7.146772179452637,800,1910,1910,98102,47.6415,-122.315,2200,4500
10-2014,13.226723392728571,3,2.0,7.590852123688581,8.154212694914229,1.5,0,0,4,7,7.272398392570047,540,1929,1929,98117,47.6775,-122.372,1610,3478
12-2014,13.458764182902971,3,2.25,7.691656822810547,11.586110868831522,2.0,0,0,4,8,7.691656822810547,0,1983,1983,98077,47.7731,-122.08,2570,47777
10-2014,13.899851706398024,3,2.5,7.979338895262328,9.001222992395064,2.0,0,0,3,8,7.979338895262328,0,1950,2010,98004,47.5814,-122.196,2370,8113
09-2014,12.577636201962656,3,1.0,7.098375638590786,10.431730608339187,1.0,0,0,3,7,7.098375638590786,0,1954,1954,98058,47.4375,-122.184,1640,14910
04-2015,12.834681304952548,3,2.5,7.757906208351747,9.210840247017833,1.0,0,0,4,8,7.286191714702382,880,1978,1978,98058,47.4431,-122.133,2250,8162
05-2014,13.038981768465277,3,1.0,7.4205789054108005,8.29529885950246,1.5,0,0,4,7,7.064759027791802,500,1939,1939,98117,47.6878,-122.38,1240,4005
07-2014,12.146853285870202,2,1.75,7.122866658599083,7.821242083523558,1.0,0,0,4,8,7.122866658599083,0,1985,1985,98198,47.3813,-122.322,1270,4966
03-2015,13.42984807715229,4,2.5,8.0519780789023,10.241280345410422,2.0,0,0,4,10,8.0519780789023,0,1991,1991,98077,47.7304,-122.082,2990,35001
08-2014,13.060487973686241,5,1.75,7.615791072035833,9.420763358881013,2.0,0,0,4,7,7.615791072035833,0,1942,1942,98052,47.6417,-122.109,2500,9433
07-2014,13.30092788532057,4,2.5,7.745002803515839,9.172015257654515,2.0,0,0,3,8,7.745002803515839,0,1984,1984,98027,47.5386,-122.053,1940,9636
03-2015,13.253391639810733,3,1.75,7.138866999945524,8.1101268019411,1.0,0,0,5,6,6.551080335043404,560,1905,1905,98103,47.6823,-122.349,1380,3536
09-2014,12.515393893085436,3,1.75,7.3395376954076745,9.441452092939569,1.0,0,0,4,7,7.05617528410041,380,1980,1980,98038,47.3624,-122.031,1540,11656
11-2014,12.706696406811568,3,1.75,7.640123172695364,8.69433468816865,1.0,0,2,3,7,6.984716320118266,1000,1971,1971,98108,47.5474,-122.295,2090,5500
10-2014,13.081541382884074,4,2.5,8.080237416216702,9.690974793577944,2.0,0,3,3,9,7.832014180505469,710,2001,2001,98001,47.3183,-122.253,2640,8517
11-2014,13.51508091268999,3,3.5,8.384804003370492,8.756210091886738,2.0,0,0,3,8,7.930206206684683,1600,1900,1999,98117,47.6981,-122.368,1830,6350
06-2014,13.158695306651719,3,3.5,7.371489295214277,7.004881989712859,3.0,0,0,3,8,7.371489295214277,0,2010,2010,98103,47.6824,-122.347,1620,3166
06-2014,12.232836282799388,2,1.0,6.779921907472252,8.821732380934442,1.0,0,0,4,6,6.779921907472252,0,1945,1945,98178,47.5009,-122.248,1190,6780
01-2015,12.054086288532291,4,2.0,7.358830898342354,9.169518377455928,1.0,0,0,3,6,7.358830898342354,0,1950,1950,98168,47.4965,-122.303,1880,9000
05-2015,13.190022025878143,4,1.0,7.383989457978509,8.000349495324684,1.5,0,0,4,7,7.383989457978509,0,1925,1925,98144,47.587,-122.294,1610,4040
01-2015,13.399995114002609,3,2.5,7.783224016336037,8.775549434486189,1.0,0,2,3,8,7.352441100243583,840,1964,1964,98177,47.7728,-122.386,2340,10856
11-2014,12.877740794412995,3,2.0,7.27931883541462,9.119540007649686,1.0,0,0,3,7,7.27931883541462,0,1987,1987,98034,47.7288,-122.226,1580,9104
04-2015,12.886641043883259,2,1.0,6.646390514847729,8.699514748210191,1.0,0,0,3,6,6.646390514847729,0,1953,1953,98117,47.6999,-122.364,1710,6000
11-2014,13.005829561148378,4,1.75,7.649692623711514,8.389359819906353,1.5,0,0,5,7,7.450079569807499,380,1924,1924,98118,47.5299,-122.266,1850,4400
06-2014,13.554145793829866,3,2.25,7.975908360165538,9.230535079261703,2.0,0,0,3,9,7.975908360165538,0,1990,1990,98052,47.6897,-122.098,2700,13992
03-2015,14.187074114396758,4,2.75,7.919356190660617,9.78633556772527,1.5,0,0,3,8,7.590852123688581,770,1914,1992,98004,47.6141,-122.212,3060,11275
07-2014,13.005829561148378,3,2.25,7.649692623711514,9.012011377036412,1.0,0,2,3,8,7.3901814282264295,480,1967,1967,98178,47.5091,-122.244,2660,8712
07-2014,12.468436909997665,4,2.25,7.67786350067821,9.08375621986673,1.0,0,0,3,8,7.215239978730097,800,1978,1978,98023,47.3129,-122.39,2090,8400
06-2014,13.620103761621664,5,3.5,7.749322464660356,8.509161019718974,2.0,0,0,5,7,7.450079569807499,600,1926,1926,98103,47.6763,-122.352,1700,4960
04-2015,12.971540487669746,4,2.5,7.635303886259415,8.368693183097793,2.0,0,0,3,7,7.635303886259415,0,2004,2004,98065,47.5319,-121.85,1970,3748
01-2015,12.26434155365415,3,1.75,6.966024187106113,8.971448463693834,1.0,0,0,4,7,6.966024187106113,0,1986,1986,98092,47.2761,-122.152,1420,7680
04-2015,13.400752402944518,4,2.25,7.605890001053122,9.169830828637973,1.0,0,0,3,8,7.272398392570047,570,1986,1986,98027,47.5343,-122.054,2060,9793
06-2014,13.572164299332545,3,3.5,8.281470857895167,11.617987936217231,1.5,0,0,3,9,7.807916628926408,1490,1989,1989,98052,47.697,-122.072,2480,88500
05-2014,13.024190303426474,3,2.5,7.605890001053122,7.734996194022781,2.0,0,0,3,8,7.237059026124737,620,2014,2014,98029,47.5517,-121.998,1690,1662
01-2015,13.422467969854667,4,3.5,7.668561108015897,7.731053144007127,3.0,0,0,3,9,7.668561108015897,0,2005,2005,98107,47.6734,-122.38,1540,2285
08-2014,12.201060103706629,3,1.75,7.1853870155804165,9.763650607348328,1.0,0,0,4,7,7.1853870155804165,0,1956,1956,98003,47.3257,-122.296,1550,19265
08-2014,12.301382825334498,4,1.75,7.61085279039525,8.966994113344454,1.0,0,0,3,7,6.917705609835305,1010,1968,1968,98003,47.3309,-122.299,1750,8140
05-2014,13.021437458814368,4,2.25,7.859413154693583,9.21054035197885,1.0,0,0,4,8,7.200424892944957,1250,1968,1968,98028,47.7689,-122.266,1550,10436
07-2014,12.854483932248728,2,1.0,7.081708586105575,8.39840965542627,1.0,0,0,3,6,7.081708586105575,0,1981,1981,98125,47.7135,-122.287,1060,5715
05-2014,13.161487932088379,3,2.25,7.064759027791802,7.130098510125578,3.0,0,0,3,8,7.064759027791802,0,2014,2014,98107,47.6722,-122.381,1350,1310
06-2014,13.407542319637992,2,1.0,7.01211529430638,8.070906088787819,1.0,0,0,3,7,7.01211529430638,0,1925,1925,98119,47.6338,-122.358,1170,3600
07-2014,13.17628321939376,5,2.5,7.944492163932159,9.14580185083861,1.0,0,0,4,8,7.346010209913293,1270,1968,1968,98006,47.5707,-122.128,2820,9375
05-2015,12.230765258120545,3,1.0,7.383989457978509,9.057072635572965,1.0,0,0,4,7,6.917705609835305,600,1962,1962,98058,47.4563,-122.171,1610,8579
04-2015,12.948009990259552,3,1.0,6.966024187106113,8.999248901686114,1.0,0,0,4,7,6.84587987526405,120,1923,1923,98133,47.7144,-122.351,1560,7940
02-2015,13.122363377404328,4,2.25,7.615791072035833,9.04981944514108,1.0,0,0,4,8,7.22983877815125,650,1961,1961,98006,47.5495,-122.174,2230,8824
12-2014,13.733758056092014,4,2.5,8.207946941048617,12.661514515109953,2.0,0,0,4,9,8.207946941048617,0,1994,1994,98077,47.7421,-122.026,2840,87991
06-2014,13.698976741708323,4,1.0,7.843848638152472,8.294049640102028,2.0,0,0,3,8,7.7706452341291765,180,1905,1905,98109,47.6354,-122.353,2200,4000
08-2014,12.971540487669746,2,2.5,7.791522819150732,11.01836681366811,2.0,0,0,3,7,7.791522819150732,0,2007,2007,98027,47.5262,-121.943,1940,193842
10-2014,12.460714863903755,5,2.0,7.723120092266331,9.433483923290392,1.0,0,0,4,8,7.029972911706386,1130,1960,1960,98032,47.3887,-122.286,1360,18000
11-2014,13.144124869185841,3,1.0,7.265429723253953,8.14757773620177,1.0,0,0,3,7,6.887552571664617,450,1947,1947,98103,47.6873,-122.336,1450,4599
08-2014,13.184718266151094,3,2.0,7.215239978730097,8.035926369891792,2.0,0,0,3,8,7.215239978730097,0,1990,1990,98103,47.6838,-122.353,1500,3090
04-2015,13.235692062711331,3,1.0,7.01211529430638,8.517193191416238,1.5,0,0,3,7,7.01211529430638,0,1947,1947,98107,47.655,-122.359,1420,5000
03-2015,12.55302548257067,3,1.0,7.1308988302963465,9.011889433252344,1.0,0,0,4,7,7.1308988302963465,0,1954,1954,98003,47.3255,-122.304,1680,8633
04-2015,14.626440774180603,4,3.25,8.55256033525353,9.895959286115337,2.0,0,3,3,12,8.17188200612782,1640,2006,2006,98006,47.562,-122.162,3160,9750
05-2014,12.765688433465597,1,1.0,6.551080335043404,8.536995818712418,1.0,0,0,3,7,6.551080335043404,0,1942,1942,98115,47.679,-122.3,1010,5100
07-2014,12.2783933071098,3,1.0,7.07326971745971,8.94494150776486,1.0,0,0,4,7,7.07326971745971,0,1967,1967,98058,47.4479,-122.176,1190,7669
11-2014,13.38472764187182,5,3.5,8.283999304248526,10.136383395293016,2.0,0,0,3,9,7.824046010856292,1460,1996,1996,98056,47.525,-122.172,2640,13675
08-2014,12.676076274775909,4,2.75,7.878534196140362,8.922658299524402,1.0,0,0,3,8,7.3901814282264295,1020,1967,1967,98023,47.3135,-122.369,1980,7875
11-2014,12.417143615610113,3,2.0,7.146772179452637,8.881558488638976,1.5,0,0,3,7,7.146772179452637,0,1916,2013,98022,47.2086,-121.996,1160,7198
10-2014,12.676076274775909,4,1.75,7.473069088032197,9.32188174670909,1.0,0,0,4,8,7.473069088032197,0,1968,1968,98059,47.4715,-122.118,1730,11180
05-2014,12.449018824140563,5,2.25,7.630461261783627,9.06323150693797,1.0,0,0,3,7,6.937314081223682,1030,1962,1962,98146,47.4877,-122.335,1010,11680
03-2015,12.989974189358584,3,1.75,7.484368643286131,9.175748927206564,1.0,0,0,3,7,7.484368643286131,0,1962,1962,98034,47.7171,-122.193,1200,9660
03-2015,13.710150042306449,3,2.5,8.131530710604252,9.717338680907787,2.0,0,0,3,10,8.131530710604252,0,2000,2000,98075,47.6012,-122.023,3400,12601
06-2014,12.996800154428984,3,2.75,7.554858521040676,8.892886141190731,1.0,0,0,3,7,7.05617528410041,750,1979,1979,98034,47.7319,-122.224,1710,8152
08-2014,12.948009990259552,3,2.0,7.61085279039525,10.554040335463652,1.0,0,0,4,7,6.917705609835305,1010,1975,1975,98027,47.4582,-122.023,2110,36590
12-2014,12.821258284620408,3,1.75,7.365180126021013,8.85366542803745,1.0,0,0,3,7,7.07326971745971,400,1976,1976,98034,47.7209,-122.168,1640,7500
02-2015,12.505992035646432,2,1.75,7.200424892944957,8.88875674784872,1.0,0,0,5,5,6.551080335043404,640,1949,1949,98198,47.408,-122.327,1830,9750
03-2015,13.601202855312463,4,2.5,7.893572073504902,8.411610428841172,2.0,0,0,3,9,7.893572073504902,0,1999,1999,98006,47.565,-122.125,2920,4500
